index;u;v;key;osmid;oneway;ref;name;highway;maxspeed;reversed;length;lanes;bridge;tunnel;fid;geometry;points
771;482143616;1201448531;0;837910348;0;;北目町通;tertiary;;False;15.102;;;;771;LINESTRING (140.8816008 38.2568374, 140.8817105 38.2569424);2
773;482143616;1257468277;0;837910348;0;;北目町通;tertiary;;True;55.795;;;;773;LINESTRING (140.8816008 38.2568374, 140.881479 38.2568045, 140.8809997 38.2566672);3
776;1201448531;1256494435;0;1010135933;1;;愛宕上杉通;tertiary;;False;167.301;3;;;776;LINESTRING (140.8817105 38.2569424, 140.8817955 38.2567054, 140.881892 38.2563521, 140.8819166 38.256264, 140.8819502 38.2560961, 140.8818806 38.2556594, 140.8818428 38.2554649);7
846;504963906;1256494435;0;41294394;1;;新寺通;tertiary;;False;11.539;2;;;846;LINESTRING (140.881712 38.2554797, 140.8818428 38.2554649);2
848;1256494435;1256553895;0;109849970;1;;愛宕上杉通;tertiary;;False;5.941;3;;;848;LINESTRING (140.8818428 38.2554649, 140.8818302 38.2554124);2
849;1256494435;504964892;0;[104156241, 41294394, 104156245];1;;新寺通;tertiary;;False;170.604;2;;;849;LINESTRING (140.8818428 38.2554649, 140.8824865 38.2553913, 140.8828242 38.2553599, 140.883676 38.255246, 140.8837743 38.2552353);5
851;504964892;7851969497;0;104156244;1;;新寺通;tertiary;;False;182.908;2;;;851;LINESTRING (140.8837743 38.2552353, 140.8839071 38.2552267, 140.8839588 38.2552297, 140.8841027 38.2552381, 140.8842252 38.2552607, 140.8842317 38.2552619, 140.8843528 38.2552972, 140.8845224 38.2553798, 140.8846617 38.2554827, 140.8849184 38.2557163, 140.8853177 38.2560872, 140.8853438 38.2561129, 140.8853826 38.2561484);13
854;7851969497;5859002459;0;841579211;1;;新寺通;tertiary;;False;11.432;2;;;854;LINESTRING (140.8853826 38.2561484, 140.8854596 38.2561879, 140.8854924 38.2562044);3
879;504966247;929220418;0;27489126;1;;;tertiary;;False;94.639;;;;879;LINESTRING (140.8916604 38.2591509, 140.8916915 38.2593136, 140.8918194 38.2599928);3
880;938512925;504966268;0;80428643;1;;;tertiary;;False;10.326;;;;880;LINESTRING (140.8918026 38.2591373, 140.8917922 38.2590448);2
882;929220418;781724243;0;27489126;1;;;tertiary;;False;64.926;;;;882;LINESTRING (140.8918194 38.2599928, 140.8919132 38.2604199, 140.8919458 38.2605682);3
887;504966262;2385285794;0;223962086;1;;宮城野通;tertiary;;False;26.522;2;;;887;LINESTRING (140.8965134 38.2586066, 140.8968142 38.2585734);2
888;504966262;1091581995;0;81370801;0;;;residential;;False;70.902;;;;888;LINESTRING (140.8965134 38.2586066, 140.8965288 38.2586813, 140.896583 38.2589451, 140.8969524 38.2589975);4
889;2385285794;794404531;0;64746456;0;;;residential;;True;12.075;;;;889;LINESTRING (140.8968142 38.2585734, 140.8967955 38.2584658);2
892;1091581995;504966262;0;81370801;0;;;residential;;True;70.902;;;;892;LINESTRING (140.8969524 38.2589975, 140.896583 38.2589451, 140.8965288 38.2586813, 140.8965134 38.2586066);4
894;504966268;938513052;0;972013221;1;;宮城野通;tertiary;;False;13.224;2;;;894;LINESTRING (140.8917922 38.2590448, 140.8916418 38.2590588);2
896;938513052;504966247;0;27489126;1;;;tertiary;;False;10.369;;;;896;LINESTRING (140.8916418 38.2590588, 140.8916604 38.2591509);2
956;939225591;938513052;0;27489126;1;;;tertiary;;False;106.406;;;;956;LINESTRING (140.8914424 38.2581148, 140.8916128 38.2589025, 140.8916418 38.2590588);3
959;2371746420;598389457;0;228501983;0;;;tertiary;;False;110.941;2;;;959;LINESTRING (140.8899445 38.2570296, 140.8910898 38.2569037, 140.8912032 38.2568937);3
969;749346903;749346909;0;60272280;0;137;県道137号荒浜原町線;secondary;;False;14.367;2;;;969;LINESTRING (140.8991239 38.2617277, 140.8991259 38.2615985);2
973;749346909;760272348;0;61575999;1;;;tertiary;;False;284.10299999999995;2;;;973;LINESTRING (140.8991259 38.2615985, 140.8985739 38.261588, 140.8980663 38.2616033, 140.8974618 38.2616307, 140.8958897 38.2618086);5
978;760272348;753563703;0;60807919;0;;;tertiary;;True;13.57;;;;978;LINESTRING (140.8958897 38.2618086, 140.8959118 38.2619294);2
979;760272348;895755413;0;61575999;1;;;tertiary;;False;118.12;2;;;979;LINESTRING (140.8958897 38.2618086, 140.8947263 38.2619361, 140.8945493 38.2619524);3
999;753563584;753563635;0;60453690;0;;;tertiary;;False;11.291;2;;;999;LINESTRING (140.8948329 38.2586954, 140.8948196 38.2587964);2
1003;753563635;504966262;0;223962086;1;;宮城野通;tertiary;;False;149.389;2;;;1003;LINESTRING (140.8948196 38.2587964, 140.8950253 38.258773, 140.8965134 38.2586066);3
1004;753563635;764397801;0;1013965493;0;;;tertiary;;False;23.155;2;;;1004;LINESTRING (140.8948196 38.2587964, 140.8948128 38.258894, 140.8948246 38.2590041);3
1013;764397801;768026117;0;61082083;0;;;unclassified;;True;87.54299999999999;;;;1013;LINESTRING (140.8948246 38.2590041, 140.894683 38.2590574, 140.8939204 38.2593443);3
1015;764397801;753563635;0;1013965493;0;;;tertiary;;True;23.155;2;;;1015;LINESTRING (140.8948246 38.2590041, 140.8948128 38.258894, 140.8948196 38.2587964);3
1016;753563703;760272348;0;60807919;0;;;tertiary;;False;13.57;;;;1016;LINESTRING (140.8959118 38.2619294, 140.8958897 38.2618086);2
1017;753563703;749346903;0;60272277;1;;;tertiary;;False;281.891;2;;;1017;LINESTRING (140.8959118 38.2619294, 140.8973898 38.2617774, 140.8982786 38.2617162, 140.8988662 38.2617149, 140.8991239 38.2617277);5
1021;895755413;895755469;0;61082310;0;;;tertiary;;False;13.606;2;;;1021;LINESTRING (140.8945493 38.2619524, 140.8945208 38.2620727);2
1022;895755413;764398214;0;61082310;0;;;tertiary;;True;58.553999999999995;2;;;1022;LINESTRING (140.8945493 38.2619524, 140.8945757 38.2618413, 140.8945903 38.2616475, 140.8945773 38.2614283);4
1198;764397798;939225587;0;80428643;1;;;tertiary;;False;52.486;;;;1198;LINESTRING (140.8919976 38.2600631, 140.8918781 38.2596005);2
1199;764397798;939225676;0;61082083;0;;;unclassified;;False;68.043;;;;1199;LINESTRING (140.8919976 38.2600631, 140.8921126 38.2600465, 140.8922362 38.2600288, 140.8927186 38.259844);4
1200;939225587;938512925;0;80428643;1;;;tertiary;;False;51.934;;;;1200;LINESTRING (140.8918781 38.2596005, 140.8918236 38.2592983, 140.8918026 38.2591373);3
1202;939225676;768026085;0;61082083;0;;;unclassified;;False;45.32;;;;1202;LINESTRING (140.8927186 38.259844, 140.8928097 38.2598061, 140.8931792 38.2596561);3
1203;939225676;764397798;0;61082083;0;;;unclassified;;True;68.04299999999999;;;;1203;LINESTRING (140.8927186 38.259844, 140.8922362 38.2600288, 140.8921126 38.2600465, 140.8919976 38.2600631);4
1205;768026117;768026085;0;61082083;0;;;unclassified;;True;73.418;;;;1205;LINESTRING (140.8939204 38.2593443, 140.8931792 38.2596561);2
1208;3754154209;764398214;0;61082310;0;;;tertiary;;False;75.28399999999999;2;;;1208;LINESTRING (140.8943886 38.2607692, 140.8943897 38.2608202, 140.8943988 38.2608748, 140.8945773 38.2614283);4
1209;3754154209;764397801;0;[1013965493, 61082310];0;;;tertiary;;True;210.43599999999998;2;;;1209;LINESTRING (140.8943886 38.2607692, 140.894403 38.2606696, 140.8944482 38.2605724, 140.8945275 38.2604636, 140.894682 38.2603253, 140.8948084 38.2602009, 140.8948475 38.2601491, 140.8948865 38.2600828, 140.8949148 38.2600145, 140.8949259 38.2599642, 140.8949271 38.2599223, 140.894918 38.2598679, 140.8948666 38.2595618, 140.8948246 38.2590041);14
1215;941298170;1253984599;0;[180919747, 109827583];0;;;tertiary;;True;225.736;;;;1215;LINESTRING (140.8808055 38.2621497, 140.8809881 38.2621815, 140.8818845 38.2623455, 140.8820186 38.2624034, 140.882062 38.2624448, 140.8820898 38.2625077, 140.88215 38.2629726, 140.8821986 38.2633053, 140.8822628 38.263412);9
1217;941298170;764398139;0;[1061795197, 1061795198];0;;駅前通;tertiary;40;True;49.203;7;;;1217;LINESTRING (140.8808055 38.2621497, 140.8808208 38.2620914, 140.8808931 38.2618302, 140.880924 38.2617171);4
